State/UT,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date,price_order_flag,statistical_outlier_flag,price_lag_1,price_lag_2,price_lag_3,price_lag_7,price_lag_14,price_lag_30,price_ma_3,price_ma_7,price_ma_14,price_ma_30,price_std_7,price_std_14,price_std_30,price_change_1,price_change_1_pct,price_change_3,price_change_3_pct,price_change_7,price_change_7_pct,price_change_14,price_change_14_pct,price_range,price_range_pct,year,month,day,day_of_week,day_of_year,week_of_year,is_weekend,month_sin,month_cos,day_of_year_sin,day_of_year_cos,price_next_observation,price_after_3_observations,price_after_7_observations,future_price_change_3,future_price_change_7,target_date_3,target_date_7
Maharashtra,Akola,APMC Akola,Cereals,Wheat,Other,FAQ,2415.0,2500.0,2440.0,Rs./Quintal,2024-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,85.0,0.03483606557377049,2024,1,1,0,1,1,0,0.49999999999999994,0.8660254037844387,0.017201575418260506,0.9998520419557735,2360.0,2455.0,2025.0,15.0,-415.0,2024-01-04,2024-01-09
Maharashtra,Chattrapati Sambhajinagar,APMC Chattrapati Sambhajinagar,Cereals,Wheat,Other,FAQ,2400.0,2650.0,2475.0,Rs./Quintal,2024-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,250.0,0.10101010101010101,2024,1,1,0,1,1,0,0.49999999999999994,0.8660254037844387,0.017201575418260506,0.9998520419557735,2513.0,2600.0,2550.0,125.0,75.0,2024-01-04,2024-01-10
Maharashtra,Dhule,APMC Dhule,Cereals,Wheat,Other,FAQ,2350.0,3200.0,2770.0,Rs./Quintal,2024-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,850.0,0.30685920577617326,2024,1,1,0,1,1,0,0.49999999999999994,0.8660254037844387,0.017201575418260506,0.9998520419557735,2870.0,2655.0,2705.0,-115.0,-65.0,2024-01-04,2024-01-11
Maharashtra,Jalna,APMC Jalana,Cereals,Wheat,Other,FAQ,2400.0,2775.0,2600.0,Rs./Quintal,2024-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,375.0,0.14423076923076922,2024,1,1,0,1,1,0,0.49999999999999994,0.8660254037844387,0.017201575418260506,0.9998520419557735,2575.0,2650.0,2550.0,50.0,-50.0,2024-01-04,2024-01-09
Maharashtra,Ahilyanagar,APMC Kopargaon,Cereals,Wheat,Other,FAQ,2410.0,2481.0,2454.0,Rs./Quintal,2024-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,71.0,0.02893235533822331,2024,1,1,0,1,1,0,0.49999999999999994,0.8660254037844387,0.017201575418260506,0.9998520419557735,2601.0,2550.0,2840.0,96.0,386.0,2024-01-04,2024-01-09
Maharashtra,Beed,APMC Majalgaon,Cereals,Wheat,Other,FAQ,2400.0,3311.0,2700.0,Rs./Quintal,2024-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,911.0,0.33740740740740743,2024,1,1,0,1,1,0,0.49999999999999994,0.8660254037844387,0.017201575418260506,0.9998520419557735,3000.0,2451.0,2400.0,-249.0,-300.0,2024-01-30,2024-02-08
Maharashtra,Buldhana,APMC Malkapur,Cereals,Wheat,Other,FAQ,2111.0,2855.0,2600.0,Rs./Quintal,2024-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,744.0,0.28615384615384615,2024,1,1,0,1,1,0,0.49999999999999994,0.8660254037844387,0.017201575418260506,0.9998520419557735,2700.0,2515.0,2590.0,-85.0,-10.0,2024-01-04,2024-01-09
Maharashtra,Nagpur,APMC Nagpur,Cereals,Wheat,Sharbati,FAQ,3000.0,3500.0,3375.0,Rs./Quintal,2024-01-01,0,1,,,,,,,,,,,,,,,,,,,,,,500.0,0.14814814814814814,2024,1,1,0,1,1,0,0.49999999999999994,0.8660254037844387,0.017201575418260506,0.9998520419557735,3175.0,3400.0,3400.0,25.0,25.0,2024-01-04,2024-01-10
Maharashtra,Ahilyanagar,APMC Rahata,Cereals,Wheat,Other,FAQ,2486.0,2960.0,2850.0,Rs./Quintal,2024-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,474.0,0.16631578947368422,2024,1,1,0,1,1,0,0.49999999999999994,0.8660254037844387,0.017201575418260506,0.9998520419557735,2650.0,2660.0,2600.0,-190.0,-250.0,2024-01-04,2024-01-09
Maharashtra,Sangli,APMC Sangli,Cereals,Wheat,Other,FAQ,3100.0,3800.0,3450.0,Rs./Quintal,2024-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,700.0,0.2028985507246377,2024,1,1,0,1,1,0,0.49999999999999994,0.8660254037844387,0.017201575418260506,0.9998520419557735,3425.0,3500.0,3600.0,50.0,150.0,2024-01-09,2024-01-19
Maharashtra,Ahilyanagar,APMC Shevgaon,Cereals,Wheat,Maharashtra 2189,FAQ,2200.0,2600.0,2200.0,Rs./Quintal,2024-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,400.0,0.18181818181818182,2024,1,1,0,1,1,0,0.49999999999999994,0.8660254037844387,0.017201575418260506,0.9998520419557735,2600.0,2500.0,2500.0,300.0,300.0,2024-01-07,2024-01-12
Maharashtra,Chattrapati Sambhajinagar,APMC Sillod,Cereals,Wheat,Other,FAQ,2500.0,2650.0,2600.0,Rs./Quintal,2024-01-01,0,1,,,,,,,,,,,,,,,,,,,,,,150.0,0.057692307692307696,2024,1,1,0,1,1,0,0.49999999999999994,0.8660254037844387,0.017201575418260506,0.9998520419557735,2600.0,2600.0,2550.0,0.0,-50.0,2024-01-04,2024-01-09
Maharashtra,Solapur,APMC Solapur,Cereals,Wheat,Sharbati,FAQ,2475.0,4120.0,2890.0,Rs./Quintal,2024-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,1645.0,0.5692041522491349,2024,1,1,0,1,1,0,0.49999999999999994,0.8660254037844387,0.017201575418260506,0.9998520419557735,2895.0,2905.0,2915.0,15.0,25.0,2024-01-04,2024-01-09
Maharashtra,Thane,APMC Ulhasnagar,Cereals,Wheat,Other,FAQ,3200.0,3600.0,3400.0,Rs./Quintal,2024-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,400.0,0.11764705882352941,2024,1,1,0,1,1,0,0.49999999999999994,0.8660254037844387,0.017201575418260506,0.9998520419557735,3400.0,3400.0,3400.0,0.0,0.0,2024-01-04,2024-01-11
Maharashtra,Nashik,Lasalgaon(Niphad),Cereals,Wheat,Maharashtra 2189,FAQ,2375.0,2850.0,2681.0,Rs./Quintal,2024-01-01,0,0,,,,,,,,,,,,,,,,,,,,,,475.0,0.17717269675494218,2024,1,1,0,1,1,0,0.49999999999999994,0.8660254037844387,0.017201575418260506,0.9998520419557735,2521.0,2700.0,2715.0,19.0,34.0,2024-01-04,2024-01-09
Maharashtra,Ahilyanagar,Shevgaon(Bodhegaon),Cereals,Wheat,Maharashtra 2189,FAQ,2500.0,2700.0,2500.0,Rs./Quintal,2024-01-01,0,1,,,,,,,,,,,,,,,,,,,,,,200.0,0.08,2024,1,1,0,1,1,0,0.49999999999999994,0.8660254037844387,0.017201575418260506,0.9998520419557735,2700.0,2700.0,2700.0,200.0,200.0,2024-01-06,2024-01-12
Maharashtra,Akola,APMC Akola,Cereals,Wheat,Other,FAQ,1850.0,2610.0,2360.0,Rs./Quintal,2024-01-02,0,0,2440.0,,,,,,,,,,,,,-80.0,-0.03278688524590164,,,,,,,760.0,0.3220338983050847,2024,1,2,1,2,1,0,0.49999999999999994,0.8660254037844387,0.03439806061360801,0.9994082116062598,2108.0,2430.0,2500.0,70.0,140.0,2024-01-05,2024-01-10
Maharashtra,Amarawati,APMC Amarawati,Cereals,Wheat,Other,FAQ,2450.0,2600.0,2525.0,Rs./Quintal,2024-01-02,0,0,,,,,,,,,,,,,,,,,,,,,,150.0,0.0594059405940594,2024,1,2,1,2,1,0,0.49999999999999994,0.8660254037844387,0.03439806061360801,0.9994082116062598,2525.0,2550.0,2550.0,25.0,25.0,2024-01-09,2024-01-15
Maharashtra,Chattrapati Sambhajinagar,APMC Chattrapati Sambhajinagar,Cereals,Wheat,Other,FAQ,2350.0,2966.0,2513.0,Rs./Quintal,2024-01-02,0,0,2475.0,,,,,,,,,,,,,38.0,0.015353535353535354,,,,,,,616.0,0.24512534818941503,2024,1,2,1,2,1,0,0.49999999999999994,0.8660254037844387,0.03439806061360801,0.9994082116062598,2555.0,2564.0,2600.0,51.0,87.0,2024-01-05,2024-01-11
Maharashtra,Dhule,APMC Dhule,Cereals,Wheat,Other,FAQ,2200.0,3200.0,2870.0,Rs./Quintal,2024-01-02,0,0,2770.0,,,,,,,,,,,,,100.0,0.036101083032490974,,,,,,,1000.0,0.34843205574912894,2024,1,2,1,2,1,0,0.49999999999999994,0.8660254037844387,0.03439806061360801,0.9994082116062598,2840.0,2750.0,2500.0,-120.0,-370.0,2024-01-05,2024-01-12
Maharashtra,Wardha,APMC Hinganghat,Cereals,Wheat,Other,FAQ,2460.0,2500.0,2480.0,Rs./Quintal,2024-01-02,0,0,,,,,,,,,,,,,,,,,,,,,,40.0,0.016129032258064516,2024,1,2,1,2,1,0,0.49999999999999994,0.8660254037844387,0.03439806061360801,0.9994082116062598,2100.0,2400.0,2430.0,-80.0,-50.0,2024-01-09,2024-01-18
Maharashtra,Jalna,APMC Jalana,Cereals,Wheat,Other,FAQ,2350.0,2673.0,2575.0,Rs./Quintal,2024-01-02,0,0,2600.0,,,,,,,,,,,,,-25.0,-0.009615384615384616,,,,,,,323.0,0.1254368932038835,2024,1,2,1,2,1,0,0.49999999999999994,0.8660254037844387,0.03439806061360801,0.9994082116062598,2500.0,2500.0,2645.0,-75.0,70.0,2024-01-05,2024-01-10
Maharashtra,Ahilyanagar,APMC Kopargaon,Cereals,Wheat,Other,FAQ,2401.0,2951.0,2601.0,Rs./Quintal,2024-01-02,0,0,2454.0,,,,,,,,,,,,,147.0,0.05990220048899755,,,,,,,550.0,0.2114571318723568,2024,1,2,1,2,1,0,0.49999999999999994,0.8660254037844387,0.03439806061360801,0.9994082116062598,2501.0,2600.0,2931.0,-1.0,330.0,2024-01-05,2024-01-10
Maharashtra,Buldhana,APMC Malkapur,Cereals,Wheat,Other,FAQ,2375.0,3175.0,2700.0,Rs./Quintal,2024-01-02,0,0,2600.0,,,,,,,,,,,,,100.0,0.038461538461538464,,,,,,,800.0,0.2962962962962963,2024,1,2,1,2,1,0,0.49999999999999994,0.8660254037844387,0.03439806061360801,0.9994082116062598,2770.0,2540.0,2550.0,-160.0,-150.0,2024-01-05,2024-01-10
Maharashtra,Nagpur,APMC Nagpur,Cereals,Wheat,Sharbati,FAQ,3100.0,3200.0,3175.0,Rs./Quintal,2024-01-02,0,0,3375.0,,,,,,,,,,,,,-200.0,-0.05925925925925926,,,,,,,100.0,0.031496062992125984,2024,1,2,1,2,1,0,0.49999999999999994,0.8660254037844387,0.03439806061360801,0.9994082116062598,3400.0,3400.0,3400.0,225.0,225.0,2024-01-06,2024-01-11
Maharashtra,Chattrapati Sambhajinagar,APMC Paithan,Cereals,Wheat,Bansi,FAQ,2351.0,3151.0,2550.0,Rs./Quintal,2024-01-02,0,0,,,,,,,,,,,,,,,,,,,,,,800.0,0.3137254901960784,2024,1,2,1,2,1,0,0.49999999999999994,0.8660254037844387,0.03439806061360801,0.9994082116062598,2891.0,2880.0,2891.0,330.0,341.0,2024-01-05,2024-01-10
Maharashtra,Ahilyanagar,APMC Rahata,Cereals,Wheat,Other,FAQ,2451.0,2890.0,2650.0,Rs./Quintal,2024-01-02,0,0,2850.0,,,,,,,,,,,,,-200.0,-0.07017543859649122,,,,,,,439.0,0.16566037735849057,2024,1,2,1,2,1,0,0.49999999999999994,0.8660254037844387,0.03439806061360801,0.9994082116062598,2570.0,2550.0,2721.0,-100.0,71.0,2024-01-05,2024-01-10
Maharashtra,Chattrapati Sambhajinagar,APMC Sillod,Cereals,Wheat,Other,FAQ,2550.0,2650.0,2600.0,Rs./Quintal,2024-01-02,0,0,2600.0,,,,,,,,,,,,,0.0,0.0,,,,,,,100.0,0.038461538461538464,2024,1,2,1,2,1,0,0.49999999999999994,0.8660254037844387,0.03439806061360801,0.9994082116062598,2600.0,2600.0,2550.0,0.0,-50.0,2024-01-05,2024-01-10
Maharashtra,Solapur,APMC Solapur,Cereals,Wheat,Sharbati,FAQ,2480.0,4110.0,2895.0,Rs./Quintal,2024-01-02,0,0,2890.0,,,,,,,,,,,,,5.0,0.0017301038062283738,,,,,,,1630.0,0.5630397236614854,2024,1,2,1,2,1,0,0.49999999999999994,0.8660254037844387,0.03439806061360801,0.9994082116062598,2900.0,2900.0,2920.0,5.0,25.0,2024-01-05,2024-01-10
Maharashtra,Thane,APMC Ulhasnagar,Cereals,Wheat,Other,FAQ,3200.0,3600.0,3400.0,Rs./Quintal,2024-01-02,0,0,3400.0,,,,,,,,,,,,,0.0,0.0,,,,,,,400.0,0.11764705882352941,2024,1,2,1,2,1,0,0.49999999999999994,0.8660254037844387,0.03439806061360801,0.9994082116062598,3400.0,3400.0,3600.0,0.0,200.0,2024-01-05,2024-01-13
Maharashtra,Nashik,Lasalgaon(Niphad),Cereals,Wheat,Maharashtra 2189,FAQ,2401.0,2651.0,2521.0,Rs./Quintal,2024-01-02,0,0,2681.0,,,,,,,,,,,,,-160.0,-0.05967922417008579,,,,,,,250.0,0.09916699722332407,2024,1,2,1,2,1,0,0.49999999999999994,0.8660254037844387,0.03439806061360801,0.9994082116062598,2550.0,2651.0,2790.0,130.0,269.0,2024-01-05,2024-01-10
