crop,model,feature_group,n_features,accuracy,balanced_accuracy,f1_macro,precision_macro,recall_macro,wait_precision,sell_precision
Rice,gradient_boosting,historical,37,0.3425,0.4518,0.3044,0.4134,0.4518,0.1071,0.8189
Rice,gradient_boosting,cross_mandi,51,0.318,0.4252,0.2866,0.4156,0.4252,0.1695,0.8396
Rice,gradient_boosting,chronos,43,0.3242,0.4433,0.3,0.4126,0.4433,0.0804,0.7953
Rice,gradient_boosting,all,57,0.4312,0.5176,0.408,0.4715,0.5176,0.1069,0.801
Tomato,random_forest,historical,37,0.5085,0.5312,0.4986,0.5271,0.5312,0.427,0.867
Tomato,random_forest,cross_mandi,51,0.5134,0.5382,0.5039,0.5434,0.5382,0.4225,0.875
Tomato,random_forest,chronos,43,0.4915,0.5142,0.4798,0.5068,0.5142,0.4205,0.8596
Tomato,random_forest,all,57,0.5036,0.526,0.4931,0.5279,0.526,0.4167,0.8615
Wheat,random_forest,historical,37,0.6033,0.5973,0.5745,0.5661,0.5973,0.4414,0.876
Wheat,random_forest,cross_mandi,51,0.6012,0.5964,0.5732,0.5663,0.5964,0.4296,0.878
Wheat,random_forest,chronos,43,0.6008,0.5945,0.5716,0.5639,0.5945,0.4338,0.8755
Wheat,random_forest,all,57,0.6008,0.5937,0.5717,0.5635,0.5937,0.4388,0.8757
Cotton,gradient_boosting,historical,37,0.5625,0.5493,0.5092,0.6322,0.5493,0.8,0.8
Cotton,gradient_boosting,cross_mandi,51,0.6,0.5827,0.5523,0.6628,0.5827,0.8333,0.8108
Cotton,gradient_boosting,chronos,43,0.575,0.5572,0.5294,0.6112,0.5572,0.7143,0.8082
Cotton,gradient_boosting,all,57,0.6,0.5827,0.5517,0.6257,0.5827,0.7143,0.8082
