crop,model,tn_dec_dec,dec_as_stb,dec_as_inc,stb_as_dec,stb_as_stb,stb_as_inc,inc_as_dec,inc_as_stb,tp_inc_inc
Rice,majority_class,0,41,0,0,233,0,0,53,0
Rice,persistence,0,41,0,0,233,0,0,53,0
Rice,momentum,14,0,27,8,211,14,29,6,18
Rice,logistic_regression,41,0,0,177,56,0,44,7,2
Rice,random_forest,35,0,6,14,58,161,32,6,15
Rice,gradient_boosting,37,0,4,30,90,113,33,6,14
Rice,hist_gradient_boosting,34,0,7,53,82,98,34,6,13
Tomato,majority_class,0,0,148,0,0,156,0,0,107
Tomato,persistence,0,148,0,0,156,0,0,107,0
Tomato,momentum,48,33,67,50,71,35,65,26,16
Tomato,logistic_regression,120,17,11,113,35,8,68,18,21
Tomato,random_forest,89,16,43,51,43,62,21,11,75
Tomato,gradient_boosting,76,8,64,36,38,82,13,9,85
Tomato,hist_gradient_boosting,79,23,46,40,41,75,12,19,76
Wheat,majority_class,0,502,0,0,1360,0,0,505,0
Wheat,persistence,0,502,0,0,1360,0,0,505,0
Wheat,momentum,72,184,246,212,943,205,221,233,51
Wheat,logistic_regression,285,140,77,254,719,387,84,179,242
Wheat,random_forest,294,126,82,232,834,294,64,147,294
Wheat,gradient_boosting,228,224,50,149,1047,164,48,239,218
Wheat,hist_gradient_boosting,283,141,78,219,847,294,75,156,274
Cotton,majority_class,0,19,0,0,42,0,0,19,0
Cotton,persistence,0,19,0,0,42,0,0,19,0
Cotton,momentum,1,14,4,3,33,6,5,13,1
Cotton,logistic_regression,16,1,2,21,7,14,7,3,9
Cotton,random_forest,14,2,3,15,13,14,5,6,8
Cotton,gradient_boosting,16,2,1,14,27,1,4,10,5
Cotton,hist_gradient_boosting,3,15,1,4,35,3,1,15,3
