crop,market,price_date,current_price,future_price_3,actual_label,predicted_label,actual_direction,predicted_direction,confidence,prob_decrease,prob_stable,prob_increase,model_used
rice,APMC Alibagh,2026-05-12,2600.0,2600.0,0,0,STABLE,STABLE,0.9927,0.004,0.9927,0.0033,gradient_boosting
rice,APMC Alibagh,2026-05-13,2600.0,2600.0,0,0,STABLE,STABLE,0.9927,0.004,0.9927,0.0033,gradient_boosting
rice,APMC Alibagh,2026-05-14,2600.0,2600.0,0,0,STABLE,STABLE,0.9927,0.004,0.9927,0.0033,gradient_boosting
rice,APMC Alibagh,2026-05-15,2600.0,2600.0,0,0,STABLE,STABLE,0.9927,0.004,0.9927,0.0033,gradient_boosting
rice,APMC Alibagh,2026-05-16,2600.0,2600.0,0,0,STABLE,STABLE,0.9927,0.004,0.9927,0.0033,gradient_boosting
rice,APMC Alibagh,2026-05-17,2600.0,2600.0,0,0,STABLE,STABLE,0.9927,0.004,0.9927,0.0033,gradient_boosting
rice,APMC Alibagh,2026-05-18,2600.0,2600.0,0,0,STABLE,STABLE,0.9927,0.004,0.9927,0.0033,gradient_boosting
rice,APMC Alibagh,2026-05-19,2600.0,2600.0,0,0,STABLE,STABLE,0.9927,0.004,0.9927,0.0033,gradient_boosting
rice,APMC Alibagh,2026-05-20,2600.0,2600.0,0,0,STABLE,STABLE,0.9927,0.004,0.9927,0.0033,gradient_boosting
rice,APMC Alibagh,2026-05-21,2600.0,2600.0,0,0,STABLE,STABLE,0.9927,0.004,0.9927,0.0033,gradient_boosting
rice,APMC Alibagh,2026-05-22,2600.0,2600.0,0,0,STABLE,STABLE,0.9927,0.004,0.9927,0.0033,gradient_boosting
rice,APMC Alibagh,2026-05-23,2600.0,2600.0,0,0,STABLE,STABLE,0.9927,0.004,0.9927,0.0033,gradient_boosting
rice,APMC Alibagh,2026-05-24,2600.0,2600.0,0,0,STABLE,STABLE,0.9927,0.004,0.9927,0.0033,gradient_boosting
rice,APMC Alibagh,2026-05-25,2600.0,2600.0,0,0,STABLE,STABLE,0.9927,0.004,0.9927,0.0033,gradient_boosting
rice,APMC Alibagh,2026-05-26,2600.0,2600.0,0,0,STABLE,STABLE,0.9935,0.004,0.9935,0.0025,gradient_boosting
rice,APMC Alibagh,2026-05-27,2600.0,2600.0,0,0,STABLE,STABLE,0.9927,0.004,0.9927,0.0033,gradient_boosting
rice,APMC Alibagh,2026-05-28,2600.0,2600.0,0,0,STABLE,STABLE,0.9927,0.004,0.9927,0.0033,gradient_boosting
rice,APMC Alibagh,2026-05-29,2600.0,2600.0,0,0,STABLE,STABLE,0.9927,0.004,0.9927,0.0033,gradient_boosting
