crop,model,model_type,accuracy,balanced_accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,precision_increase,recall_increase,f1_increase,precision_stable,recall_stable,f1_stable,precision_decrease,recall_decrease,f1_decrease,wait_precision,sell_precision
Rice,majority_class,Baseline,0.7125,0.3333,0.2774,0.5929,0.2375,0.3333,0.0,0.0,0.0,0.7125,1.0,0.8321,0.0,0.0,0.0,0.0,0.8379
Rice,persistence,Baseline,0.7125,0.3333,0.2774,0.5929,0.2375,0.3333,0.0,0.0,0.0,0.7125,1.0,0.8321,0.0,0.0,0.0,0.0,0.8379
Rice,momentum,Baseline,0.7431,0.5289,0.5212,0.7585,0.5173,0.5289,0.3051,0.3396,0.3214,0.9724,0.9056,0.9378,0.2745,0.3415,0.3043,0.3051,0.8694
Rice,logistic_regression,ML Classifier,0.3028,0.426,0.2406,0.3153,0.6818,0.426,1.0,0.0377,0.0727,0.8889,0.2403,0.3784,0.1565,1.0,0.2706,1.0,0.8431
Rice,random_forest,ML Classifier,0.3303,0.4619,0.364,0.3709,0.4736,0.4619,0.0824,0.283,0.1277,0.9062,0.2489,0.3906,0.4321,0.8537,0.5738,0.0824,0.7379
Rice,gradient_boosting,ML Classifier,0.4312,0.5176,0.408,0.4803,0.4715,0.5176,0.1069,0.2642,0.1522,0.9375,0.3863,0.5471,0.37,0.9024,0.5248,0.1069,0.801
Rice,hist_gradient_boosting,ML Classifier,0.3945,0.4755,0.3609,0.4413,0.441,0.4755,0.1102,0.2453,0.152,0.9318,0.3519,0.5109,0.281,0.8293,0.4198,0.1102,0.8086
Tomato,majority_class,Baseline,0.2603,0.3333,0.1377,0.1076,0.0868,0.3333,0.2603,1.0,0.4131,0.0,0.0,0.0,0.0,0.0,0.0,0.2603,0.0
Tomato,persistence,Baseline,0.3796,0.3333,0.1834,0.2089,0.1265,0.3333,0.0,0.0,0.0,0.3796,1.0,0.5503,0.0,0.0,0.0,0.0,0.7397
Tomato,momentum,Baseline,0.3285,0.3097,0.3158,0.3366,0.3254,0.3097,0.1356,0.1495,0.1422,0.5462,0.4551,0.4965,0.2945,0.3243,0.3087,0.1356,0.6894
