,,,,,,Daily Price Report-01-01-2026 to 03-09-2026 for Maharashtra,,,,,
State/UT,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
Maharashtra,Ahilyanagar,APMC Pathardi ,Fibre Crops,Cotton,Other,Non-FAQ,"7,200.00","7,700.00","7,600.00",Rs./Quintal,29-04-2026
Maharashtra,Ahilyanagar,APMC Pathardi ,Fibre Crops,Cotton,Other,Local,"7,500.00","7,800.00","7,750.00",Rs./Quintal,22-04-2026
Maharashtra,Ahilyanagar,APMC Pathardi ,Fibre Crops,Cotton,Other,Local,"1,500.00","8,000.00","7,600.00",Rs./Quintal,15-04-2026
Maharashtra,Ahilyanagar,APMC Pathardi ,Fibre Crops,Cotton,Other,Local,"7,000.00","7,800.00","7,500.00",Rs./Quintal,08-04-2026
Maharashtra,Ahilyanagar,APMC Pathardi ,Fibre Crops,Cotton,Varalaxmi,Non-FAQ,"7,000.00","7,600.00","7,400.00",Rs./Quintal,11-03-2026
Maharashtra,Ahilyanagar,APMC Pathardi ,Fibre Crops,Cotton,Other,Local,"7,100.00","7,500.00","7,200.00",Rs./Quintal,18-02-2026
Maharashtra,Ahilyanagar,APMC Pathardi ,Fibre Crops,Cotton,Other,Local,"7,200.00","7,700.00","7,400.00",Rs./Quintal,07-02-2026
Maharashtra,Ahilyanagar,APMC Pathardi ,Fibre Crops,Cotton,Other,Local,"7,200.00","7,700.00","7,550.00",Rs./Quintal,06-02-2026
Maharashtra,Ahilyanagar,APMC Pathardi ,Fibre Crops,Cotton,Other,Local,"7,500.00","8,000.00","7,700.00",Rs./Quintal,17-01-2026
Maharashtra,Ahilyanagar,APMC Pathardi ,Fibre Crops,Cotton,Other,Local,"6,800.00","7,900.00","7,500.00",Rs./Quintal,14-01-2026
Maharashtra,Ahilyanagar,APMC Pathardi ,Fibre Crops,Cotton,Other,Local,"6,250.00","7,100.00","6,800.00",Rs./Quintal,13-01-2026
Maharashtra,Ahilyanagar,APMC Pathardi ,Fibre Crops,Cotton,Other,Local,"6,450.00","7,350.00","6,900.00",Rs./Quintal,10-01-2026
Maharashtra,Ahilyanagar,APMC Pathardi ,Fibre Crops,Cotton,Other,Local,"6,500.00","7,400.00","7,000.00",Rs./Quintal,09-01-2026
Maharashtra,Ahilyanagar,APMC Pathardi ,Fibre Crops,Cotton,Other,Local,"7,000.00","7,600.00","7,400.00",Rs./Quintal,06-01-2026
Maharashtra,Ahilyanagar,APMC Pathardi ,Fibre Crops,Cotton,Other,Local,"6,300.00","7,150.00","6,850.00",Rs./Quintal,02-01-2026
Maharashtra,Akola,APMC Akola ,Fibre Crops,Cotton,Desi,Local,"8,010.00","8,010.00","8,010.00",Rs./Quintal,14-03-2026
