,,,,,,Daily Price Report-01-01-2026 to 03-09-2026 for Maharashtra,,,,,
State/UT,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
Maharashtra,Ahilyanagar,APMC Ahilyanagar ,Vegetables,Tomato,Other,Local,500.00,"1,500.00","1,000.00",Rs./Quintal,03-09-2026
Maharashtra,Ahilyanagar,APMC Ahilyanagar ,Vegetables,Tomato,Other,Local,200.00,"1,200.00",700.00,Rs./Quintal,01-09-2026
Maharashtra,Ahilyanagar,APMC Ahilyanagar ,Vegetables,Tomato,Other,Local,200.00,"1,000.00",600.00,Rs./Quintal,30-08-2026
Maharashtra,Ahilyanagar,APMC Ahilyanagar ,Vegetables,Tomato,Other,Local,200.00,"1,000.00",600.00,Rs./Quintal,29-08-2026
Maharashtra,Ahilyanagar,APMC Ahilyanagar ,Vegetables,Tomato,Other,Local,200.00,"1,000.00",600.00,Rs./Quintal,28-08-2026
Maharashtra,Ahilyanagar,APMC Ahilyanagar ,Vegetables,Tomato,Other,Local,200.00,"1,300.00",750.00,Rs./Quintal,25-08-2026
Maharashtra,Ahilyanagar,APMC Ahilyanagar ,Vegetables,Tomato,Other,Local,200.00,"1,800.00","1,000.00",Rs./Quintal,21-08-2026
Maharashtra,Ahilyanagar,APMC Ahilyanagar ,Vegetables,Tomato,Other,Local,200.00,"1,900.00","1,050.00",Rs./Quintal,17-08-2026
Maharashtra,Ahilyanagar,APMC Ahilyanagar ,Vegetables,Tomato,Other,Local,300.00,"2,000.00","1,150.00",Rs./Quintal,16-08-2026
Maharashtra,Ahilyanagar,APMC Ahilyanagar ,Vegetables,Tomato,Other,Local,500.00,"2,500.00","1,500.00",Rs./Quintal,14-08-2026
Maharashtra,Ahilyanagar,APMC Ahilyanagar ,Vegetables,Tomato,Other,Local,300.00,"2,000.00","1,150.00",Rs./Quintal,13-08-2026
Maharashtra,Ahilyanagar,APMC Ahilyanagar ,Vegetables,Tomato,Other,Local,300.00,"2,000.00","1,150.00",Rs./Quintal,10-08-2026
Maharashtra,Ahilyanagar,APMC Ahilyanagar ,Vegetables,Tomato,Other,Local,500.00,"2,000.00","1,250.00",Rs./Quintal,09-08-2026
Maharashtra,Ahilyanagar,APMC Ahilyanagar ,Vegetables,Tomato,Other,Local,500.00,"2,500.00","1,500.00",Rs./Quintal,08-08-2026
Maharashtra,Ahilyanagar,APMC Ahilyanagar ,Vegetables,Tomato,Other,Local,400.00,"3,000.00","1,700.00",Rs./Quintal,03-08-2026
Maharashtra,Ahilyanagar,APMC Ahilyanagar ,Vegetables,Tomato,Other,Local,500.00,"3,500.00","2,000.00",Rs./Quintal,02-08-2026
Maharashtra,Ahilyanagar,APMC Ahilyanagar ,Vegetables,Tomato,Other,Local,400.00,"2,500.00","1,450.00",Rs./Quintal,01-08-2026
Maharashtra,Ahilyanagar,APMC Ahilyanagar ,Vegetables,Tomato,Other,Local,500.00,"2,500.00","1,500.00",Rs./Quintal,31-07-2026
Maharashtra,Ahilyanagar,APMC Ahilyanagar ,Vegetables,Tomato,Other,Local,400.00,"2,500.00","1,450.00",Rs./Quintal,28-07-2026
Maharashtra,Ahilyanagar,APMC Ahilyanagar ,Vegetables,Tomato,Other,Local,500.00,"2,500.00","1,500.00",Rs./Quintal,27-07-2026
Maharashtra,Ahilyanagar,APMC Ahilyanagar ,Vegetables,Tomato,Other,Local,500.00,"2,500.00","1,500.00",Rs./Quintal,26-07-2026
Maharashtra,Ahilyanagar,APMC Ahilyanagar ,Vegetables,Tomato,Other,Local,500.00,"3,000.00","1,750.00",Rs./Quintal,24-07-2026
Maharashtra,Ahilyanagar,APMC Ahilyanagar ,Vegetables,Tomato,Other,Local,500.00,"3,000.00","1,750.00",Rs./Quintal,23-07-2026
Maharashtra,Ahilyanagar,APMC Ahilyanagar ,Vegetables,Tomato,Other,Local,500.00,"2,500.00","1,500.00",Rs./Quintal,21-07-2026
Maharashtra,Ahilyanagar,APMC Ahilyanagar ,Vegetables,Tomato,Other,Local,500.00,"2,300.00","1,400.00",Rs./Quintal,20-07-2026
Maharashtra,Ahilyanagar,APMC Ahilyanagar ,Vegetables,Tomato,Other,Local,500.00,"3,000.00","1,750.00",Rs./Quintal,19-07-2026
Maharashtra,Ahilyanagar,APMC Ahilyanagar ,Vegetables,Tomato,Other,Local,500.00,"2,500.00","1,500.00",Rs./Quintal,18-07-2026
Maharashtra,Ahilyanagar,APMC Ahilyanagar ,Vegetables,Tomato,Other,Local,400.00,"2,800.00","1,600.00",Rs./Quintal,17-07-2026
Maharashtra,Ahilyanagar,APMC Ahilyanagar ,Vegetables,Tomato,Other,Local,400.00,"2,500.00","1,450.00",Rs./Quintal,16-07-2026
Maharashtra,Ahilyanagar,APMC Ahilyanagar ,Vegetables,Tomato,Other,Local,600.00,"4,000.00","2,300.00",Rs./Quintal,09-07-2026
Maharashtra,Ahilyanagar,APMC Ahilyanagar ,Vegetables,Tomato,Other,Local,500.00,"3,000.00","1,750.00",Rs./Quintal,06-07-2026
Maharashtra,Ahilyanagar,APMC Ahilyanagar ,Vegetables,Tomato,Other,Local,500.00,"2,600.00","1,550.00",Rs./Quintal,05-07-2026
Maharashtra,Ahilyanagar,APMC Ahilyanagar ,Vegetables,Tomato,Other,Local,500.00,"2,500.00","1,500.00",Rs./Quintal,04-07-2026
Maharashtra,Ahilyanagar,APMC Ahilyanagar ,Vegetables,Tomato,Other,Local,400.00,"2,500.00","1,450.00",Rs./Quintal,03-07-2026
Maharashtra,Ahilyanagar,APMC Ahilyanagar ,Vegetables,Tomato,Other,Local,500.00,"3,800.00","2,150.00",Rs./Quintal,23-06-2026
Maharashtra,Ahilyanagar,APMC Ahilyanagar ,Vegetables,Tomato,Other,Local,400.00,"3,500.00","1,950.00",Rs./Quintal,21-06-2026
Maharashtra,Ahilyanagar,APMC Ahilyanagar ,Vegetables,Tomato,Other,Local,800.00,"4,000.00","2,400.00",Rs./Quintal,18-06-2026
Maharashtra,Ahilyanagar,APMC Ahilyanagar ,Vegetables,Tomato,Other,Local,600.00,"2,800.00","1,700.00",Rs./Quintal,09-06-2026
Maharashtra,Ahilyanagar,APMC Ahilyanagar ,Vegetables,Tomato,Other,Local,500.00,"2,200.00","1,350.00",Rs./Quintal,30-05-2026
Maharashtra,Ahilyanagar,APMC Ahilyanagar ,Vegetables,Tomato,Other,Local,400.00,"2,000.00","1,200.00",Rs./Quintal,24-05-2026
